ts	phase	decision	why	evidence	result
2026-09-06T05:56:35Z	framing	Merge first round and isolate spawn/Cell follow-up	User explicitly requested merge then further CPU/RAM/timing work with spawn and Cells priority	main fast-forward8506467f to17ce2072; git status retained four unrelated untracked files	Merged locally; fresh perf/spawn-cells-2026-09-06 worktree; no deployment
2026-09-06T05:56:35Z	measurement	Compare actual CLI host launch with standalone bundle prototype	Separate per-host parse/import cost from daemon tick scheduling and provider latency	.artifacts/performance/spawn/host-prototype.json; 15 alternating launches; exact entry hashes	Host RSS60.93 to49.69MB; CPU290 to220ms; ready1005 to917ms. Initial v2 module-only probe was wrong entry; corrected to installed dist/cli.js
2026-09-06T05:56:36Z	measurement	Measure Cell worker after successful image placement	Check whether a ready worker retains resources only to repeat an already completed image check	.artifacts/performance/spawn/cell-worker-before.json; three fresh image-hit workers	All still alive2s after ready; maintenance signal runs4 additional git calls; deferred-worker skip candidate limited to fresh image-cow, not replay/fallback
2026-09-06T05:56:36Z	verification	Correct Git Trace2 attribution before final baseline	Nested upload-pack durations overlap clone and cannot be summed as independent time	scripts/perf/git-trace.mjs and two tests; clone trace nested session IDs	Top-level command durations only; exploratory wall/RSS observations remain valid; rerunning baseline with corrected attribution
2026-09-06T06:11:08.416915+00:00	design	Select driver-owned dedicated runner-host entry (B)	Single entry owner removes daemon argv inference and preserves existing overrides	Fable independent cross-judgment; Node ESM symlink probe; host-design-a/b.md	Graft early module directory pin and artifact isolation gate; Sol implementing in isolated lane
2026-09-06T06:32:12.692895+00:00	verification	Add artifact hash and exact copy-mode gates to Cell measurement	Independent review found stale dist attribution and silent fallback risks	Claude Fable 5 review; scripts/perf/cells.mjs; repeated verified worker captures	Final worker and cohort hashes match exactly for baseline and 223f85a1; all scenarios complete
2026-09-06T06:32:12.692895+00:00	measurement	Retain worker lifetime optimization without claiming faster readiness	Five-worker RSS and redundant Git counts improve; readiness distributions remain noisy	evidence/worker-scorecard.csv and cohort-scorecard.csv	Worker tail 2421 to 2.61ms; cohort hold RSS132.60 to124.45MB; 60 to40 Git calls; no readiness or steady-idle CPU win claimed
2026-09-06T07:30:41.783252+00:00	verification	Integrate dedicated host and verify combined Cell lifecycle	Both optimizations must work together through actual built artifacts	b6fe51fc; combined-build/typecheck/artifact/worker logs	Build and daemon typecheck pass; staged cases6/6 and real Workers5/5; hashes equal independently verified lanes
2026-09-06T07:30:41.783252+00:00	measurement	Retain host resource improvement; qualify full readiness	All pairs reduce RSS and startup CPU, but agent-ready median and matched-pair summaries disagree under load	evidence/host-final.json and host-scorecard.csv; 15 pairs	RSS60.98 to49.97MB, CPU390 to280ms; no reliable full-agent readiness or idle-CPU win claimed
2026-09-06T07:30:41.783252+00:00	tooling	Add opt-in worker native profiles and reset repeated Git traces	Expose JS allocation/CPU stacks without production overhead; avoid Trace2 appending earlier captures	22 indexed native files; tools-final-tests.log8/8	Worker profiles confirm12 to8 Git calls; all native payloads parse and hashes round-trip through gzip
2026-09-06T07:37:45.891278+00:00	landing	Accept independent final evidence sign-off	Every result and retained native payload must be auditable before landing	Claude Fable 5 checked all scorecard rows,22 gzip payloads,10 CPU profile counts and host index references	No findings or open review items; preserve unrelated main files; no deployment
