ts	phase	decision	why	evidence	result
2026-09-06T03:41:40Z	frame	Use an isolated worktree and map before optimizing	Preserve concurrent work and capture baseline behavior before changes	workflow.md; baseline 8506467f	open
2026-09-06T03:53:02Z	measurement	Build provider-free core, daemon, CLI and process-tree measurements	A common workload and raw samples are needed before speed claims	scripts/perf; system-map.md; .artifacts/performance/baseline-core.json	VERIFIED: benchmark smokes; initial runs exploratory under background build load
2026-09-06T03:53:02Z	verification	Establish correctness baseline at 8506467f	Distinguish existing failures from performance regressions	.artifacts/performance/baseline-typecheck.log; .artifacts/performance/baseline-check.log; .artifacts/performance/baseline-build.log; .artifacts/performance/baseline-core-tests.log; .artifacts/performance/baseline-invariants.log	VERIFIED: typechecks and build; 174 core tests; 14 invariant tests
2026-09-06T03:55:16Z	measurement	Correct the installed CLI probe to invoke help	The baseline CLI rejects --help before its help dispatch; the probe now uses the existing help verb	.artifacts/performance/baseline-cli.log; scripts/perf/worker.mjs	NOT VERIFIED for original CLI probe; corrected probe pending
2026-09-06T04:05:22Z	review	Harden report validation and interrupted-worker cleanup	Independent review found malformed metrics and detached-host cleanup risks	scripts/perf/worker.test.mjs; .artifacts/performance/measurement-tests.log; .artifacts/performance/measurement-review.json	VERIFIED: normal and interrupted real stub cleanup; finite metrics; partial report rejection
2026-09-06T04:05:23Z	optimization	Seek one latest runtime per bee using the existing primary key	The history anti-join did quadratic work within each bee; EXPLAIN confirmed the final indexed plan	evidence/query-before.json; evidence/query-after.json; evidence/query-scorecard.csv; evidence/query-plan-after.json; v2/core/tests/list-views.test.ts	VERIFIED: concentrated history view p50 412.45 to 3.12 ms; quiet step 427.27 to 4.22 ms; 175 core and 14 invariant tests; v2 typecheck and build
2026-09-06T04:18:41Z	measurement	Add alternating revision comparisons after noisy separate-process results	Unchanged paths varied substantially with host load; the filter experiment cannot pass on those results	scripts/perf/paired-core.mjs; .artifacts/performance/filter-scorecard.csv	INCONCLUSIVE for separate-process lifecycle-filter timing; alternating evidence pending
2026-09-06T04:18:41Z	tracing	Integrate bounded opt-in tracing and request two review fixes	Tracing needs response serialization and failed startup phase attribution	d8b8ff76; docs/review/performance-round-2026-09-06.md	Core/daemon profiler implemented; serialization and failing-startup tests pending
2026-09-06T04:29:48Z	verification	Separate pre-existing driver failures from changed-code validation	HSR timeout passed alone and all 105 tests passed serially; tmux echo failure reproduces on baseline with the same Node 25.8 executable	.artifacts/performance/final-driver-tests.log; .artifacts/performance/final-driver-serial.log; .artifacts/performance/tmux-echo-baseline-node25.log; .artifacts/performance/tmux-echo-recheck.log	VERIFIED: changed-code core, invariant, daemon and profiler checks; pre-existing tmux failure remains
2026-09-06T04:50:42Z	verification	Retain lifecycle-filtered SQL selection	Thirty alternating samples on identical stores show lower active-view CPU without changing returned state	evidence/filter-scorecard.csv; final-core-tests.log; final-daemon-tests.log	Active-view CPU down 85% at 1000x1 and 65% at 1000x20; differential, replay, transaction, core and daemon checks pass
2026-09-06T04:57:25Z	verification	Retain both core changes with explicit flat-history tradeoff	Final baseline-versus-candidate ABBA run confirms dominant history gains while preserving returned state	evidence/final-core-scorecard.csv; 30 samples per side; independent raw-data audit	VERIFIED: 100x200 list wall 378.19 to 3.42 ms; quiet CPU 318.85 to 4.17 ms. 1000x1 unfiltered list wall +6.7%, CPU +4.2%; no blanket speedup claim
