ID,Priority,Status,Operation,Metrics,Baseline evidence,Change,After evidence,Correctness gate,Disposition
C01,P2,unmeasured this round,v2/core/src/store.ts:CoreStore.constructor,"wall, CPU, RSS, WAL I/O","B1; I1,I6",,,"K1; core/spec01, core-extra second-writer and reopen cases",Open; next experiment: Repeated separate-process open-to-ready and close with production pragmas
C02,P2,unmeasured this round,"v2/core/src/store.ts:ensureSchemaVersion, backfillMailHistoryEnqueues","wall, CPU, peak heap, pages, WAL bytes","B3 partial; I1,I6",,,"K1,K4; core/mail-history, import-frozen atomic migration",Open; next experiment: Open disposable copies at every supported version with fixed audit history
C03,P2,unmeasured this round,"v2/core/src/store.ts:tx, stmt","CPU per transaction, prepares, cache size, commit stalls",B1 partial; I1,,,"K1; core/spec01, idempotency rollback/no-op cases",Open; next experiment: Count prepare/step/commit separately in a deterministic mixed trace
C04,P2,unmeasured this round,"v2/core/src/store.ts:createBee, mintHandle","latency, CPU, writes, retries","B1 stub aggregate; I1,I3",,,"K1,K2; core/handles, daemon/idempotency",Open; next experiment: Admit 1/100/1000 stub intents with forced handle-collision fixtures
C05,P2,unmeasured this round,v2/daemon/src/daemon.ts:viewOf; v2/core/src/store.ts:view,"latency, SQL count, allocations","B1; I1,I2",,,"K2; core/list-views, daemon/integration",Open; next experiment: Attribute each query for repeated view RPC against one bee
C06,P1,unmeasured this round,v2/core/src/store.ts:listBeeViewRows,"latency, CPU, heap allocation",B1 landed; I1,,,"K2; core/list-views equality, rollback, deletion",Open; next experiment: Repeat 10/1000/10000 bees with flat/deep generations and many excluded flags
C07,P1,optimized measured subset,"v2/core/src/store.ts:expireFlags, activeFlags","CPU/tick, rows visited, expiry lateness, storage","evidence/mini-read-hotspots-before.json (canonical24cases,n15,Node24.18M4,guardbasebcd85a8c)",e24c2501: partial deadline index after additive migration,evidence/mini-read-hotspots-flags-comparison.json; mini-flag-index-index-repeat.json,"K2,K3; core/urgency, daemon/loops provider reset cases",No-due100kcleared+1kfuture CPU2.691→0.007ms. Write/burst/storage costs measured; very large migration/expiry bursts remain open.
C08,P1,unmeasured this round,"v2/core/src/store.ts:send, applyWakeIfNeeded","accept latency, CPU, transaction/WAL bytes","B1 stub aggregate; I1,I3",,,"K1,K3; core/idempotency, urgency, mail-history",Open; next experiment: Durable sends of 0.1/10/1000 KiB to running/stopped/archived bees
C09,P1,metadata allocation and table access optimized; broader delivery open,"v2/core/src/store.ts:listUndeliveredMessages, pendingMail","CPU, heap, read bytes, page latency","evidence/mini-read-hotspots-before.json (canonical24cases,n15,Node24.18M4,guardbasebcd85a8c)",;b89d628d native row arrays and covering pending metadata;10c25dfc removes duplicate pending index,;pending-allocation-results.md;pending-covering-results.md;pending-combined-results.md;pending-index-removal-results.md,"K3; core/urgency, mail-history FIFO and pending page caps",Combined current-main20k tick10.519→5.161CPU;100live/100x1MiB11.219→0.151CPU. Separate sampled allocation315→150MB is traffic not retained RAM. Index write/open costs and possible full-read2–3%cost retained. Broader delivery/fleet scaling remains open.
C10,P1,candidate in verification; rejected full-index theft,v2/core/src/store.ts:listMessages,"latency, CPU, heap, response bytes","evidence/mini-read-hotspots-before.json (canonical24cases,n15,Node24.18M4,guardbasebcd85a8c)",,,"K3,K4; core/mail-history and daemon/mail-history",Delivered-only partial index plus ordered UNION candidate c25ee08a/2512bd64 under Mini tradeoff measurement. Full bee_id index rejected because it makes pending reads scan same-Bee delivered history. See c10-design-review.md.
