ID	Location	Trigger / frequency	Metrics	Workload dimensions	Coverage / instrumentation	Hypothesis to test	Invariant / narrow verification	Priority	Next experiment
C01	v2/core/src/store.ts:CoreStore.constructor	Each writer open and close	wall, CPU, RSS, WAL I/O	empty, existing, large, contended writer, cold cache	B1; I1,I6	DDL and mandatory open write dominate warm empty startup	K1; core/spec01, core-extra second-writer and reopen cases	P2	Repeated separate-process open-to-ready and close with production pragmas
C02	v2/core/src/store.ts:ensureSchemaVersion, backfillMailHistoryEnqueues	First open of older schema	wall, CPU, peak heap, pages, WAL bytes	schema versions, audit size, body sizes, interrupted migration	B3 partial; I1,I6	JSON extraction and projection backfill dominate upgrade pauses	K1,K4; core/mail-history, import-frozen atomic migration	P2	Open disposable copies at every supported version with fixed audit history
C03	v2/core/src/store.ts:tx, stmt	Every transaction and SQL statement	CPU per transaction, prepares, cache size, commit stalls	read/write mix, nested calls, SQL variants, rollback rate	B1 partial; I1	Repeated uncached prepare and no-op transactions remain material at high call rates	K1; core/spec01, idempotency rollback/no-op cases	P2	Count prepare/step/commit separately in a deterministic mixed trace
C04	v2/core/src/store.ts:createBee, mintHandle	Each spawn admission	latency, CPU, writes, retries	bee count, handle collisions, env/tags/args bytes	B1 stub aggregate; I1,I3	Handle collision retries and repeated JSON copies grow admission CPU	K1,K2; core/handles, daemon/idempotency	P2	Admit 1/100/1000 stub intents with forced handle-collision fixtures
C05	v2/daemon/src/daemon.ts:viewOf; v2/core/src/store.ts:view	Single-view RPC and internal decisions	latency, SQL count, allocations	B, G, active flags, repeated same bee	B1; I1,I2	viewOf repeats bee/runtime reads already performed by store.view	K2; core/list-views, daemon/integration	P2	Attribute each query for repeated view RPC against one bee
C06	v2/core/src/store.ts:listBeeViewRows	list, snapshot, core step	latency, CPU, heap allocation	B, G distribution, archived ratio, active flags	B1 landed; I1	Remaining mapping, temporary Sets/Maps and unfiltered active-flag reads dominate flat histories	K2; core/list-views equality, rollback, deletion	P1	Repeat 10/1000/10000 bees with flat/deep generations and many excluded flags
C07	v2/core/src/store.ts:expireFlags, activeFlags	Expiry every core step; flag reads/writes on evidence	CPU/tick, rows visited, expiry lateness, storage	active/cleared flags, due fraction, duplicate evidence	I1; no focused perf	Expiry scanning and ordering cost exceed useful work when nothing is due	K2,K3; core/urgency, daemon/loops provider reset cases	P1	Vary cleared history independently of active and due flags
C08	v2/core/src/store.ts:send, applyWakeIfNeeded	Every accepted message	accept latency, CPU, transaction/WAL bytes	body bytes, lifecycle/runtime state, duplicate key, urgency	B1 stub aggregate; I1,I3	Mailbox plus audit plus history projection amplify bytes per accepted message	K1,K3; core/idempotency, urgency, mail-history	P1	Durable sends of 0.1/10/1000 KiB to running/stopped/archived bees
C09	v2/core/src/store.ts:listUndeliveredMessages, pendingMail	Each step snapshot; pending-mail RPC	CPU, heap, read bytes, page latency	pending count, body sizes, bees, ineligible idle mail	I1,I3	Policy snapshots hydrate large bodies despite needing mostly eligibility fields	K3; core/urgency, mail-history FIFO and pending page caps	P1	Fixed pending count with escalating body bytes and running/idle ratios
C10	v2/core/src/store.ts:listMessages	mailbox RPC, naming, CLI wait	latency, CPU, heap, response bytes	own history size, returned bodies, consumers	I1,I2; no focused perf	Complete history hydration dominates polling and naming callers	K3,K4; core/mail-history and daemon/mail-history	P1	Profile full-history API separately from each internal consumer
